type,matrix_size,processes,nodes,time_seconds,speedup
sequential,512,1,1,0.049054,1.00
mpi,512,2,1,0.019779,2.48
mpi,512,4,1,0.012367,3.97
mpi,512,8,1,0.008462,5.80
mpi,512,12,1,0.013795,3.56
mpi,512,18,2,0.038501,1.27
mpi,512,24,2,0.034169,1.44
mpi,512,36,3,0.051203,0.96
mpi,512,48,4,0.061109,0.80
mpi,512,72,6,0.102649,0.48
mpi,512,96,8,0.106468,0.46
mpi,512,120,10,0.130389,0.38
sequential,1024,1,1,0.104909,1.00
mpi,1024,2,1,0.036164,2.90
mpi,1024,4,1,0.020821,5.04
mpi,1024,8,1,0.014393,7.29
mpi,1024,12,1,0.013661,7.68
mpi,1024,18,2,0.030563,3.43
mpi,1024,24,2,0.042464,2.47
mpi,1024,36,3,0.055273,1.90
mpi,1024,48,4,0.072158,1.45
mpi,1024,72,6,0.085108,1.23
mpi,1024,96,8,0.107425,0.98
mpi,1024,120,10,0.122754,0.85
sequential,2048,1,1,0.209795,1.00
mpi,2048,2,1,0.078773,2.66
mpi,2048,4,1,0.044120,4.76
mpi,2048,8,1,0.025414,8.26
mpi,2048,12,1,0.018506,11.34
mpi,2048,18,2,0.032248,6.51
mpi,2048,24,2,0.037395,5.61
mpi,2048,36,3,0.050709,4.14
mpi,2048,48,4,0.059129,3.55
mpi,2048,72,6,0.088848,2.36
mpi,2048,96,8,0.105684,1.99
mpi,2048,120,10,0.188668,1.11
sequential,4096,1,1,0.424358,1.00
mpi,4096,2,1,0.149948,2.83
mpi,4096,4,1,0.083002,5.11
mpi,4096,8,1,0.046816,9.06
mpi,4096,12,1,0.037217,11.40
mpi,4096,18,2,0.041116,10.32
mpi,4096,24,2,0.044197,9.60
mpi,4096,36,3,0.055284,7.68
mpi,4096,48,4,0.069088,6.14
mpi,4096,72,6,0.089668,4.73
mpi,4096,96,8,0.121185,3.50
mpi,4096,120,10,0.143853,2.95
sequential,8192,1,1,1.056292,1.00
mpi,8192,2,1,0.312176,3.38
mpi,8192,4,1,0.168551,6.27
mpi,8192,8,1,0.092035,11.48
mpi,8192,12,1,0.062773,16.83
mpi,8192,18,2,0.060544,17.45
mpi,8192,24,2,0.059762,17.67
mpi,8192,36,3,0.066050,15.99
mpi,8192,48,4,0.077696,13.60
mpi,8192,72,6,0.098392,10.74
mpi,8192,96,8,0.113380,9.32
mpi,8192,120,10,0.258549,4.09
sequential,16384,1,1,2.706060,1.00
mpi,16384,2,1,1.068268,2.53
mpi,16384,4,1,0.332976,8.13
mpi,16384,8,1,0.171230,15.80
mpi,16384,12,1,0.124048,21.81
mpi,16384,18,2,0.103326,26.19
mpi,16384,24,2,0.094470,28.64
mpi,16384,36,3,0.090735,29.82
mpi,16384,48,4,0.096575,28.02
mpi,16384,72,6,0.117178,23.09
mpi,16384,96,8,0.295603,9.15
mpi,16384,120,10,0.159462,16.97
sequential,32768,1,1,5.429599,1.00
mpi,32768,2,1,1.766962,3.07
mpi,32768,4,1,0.932255,5.82
mpi,32768,8,1,0.606442,8.95
mpi,32768,12,1,0.527457,10.29
mpi,32768,18,2,0.209291,25.94
mpi,32768,24,2,0.153523,35.37
mpi,32768,36,3,0.126921,42.78
mpi,32768,48,4,0.117600,46.17
mpi,32768,72,6,0.128677,42.20
mpi,32768,96,8,0.195801,27.73
mpi,32768,120,10,0.146777,36.99
