type,matrix_size,processes,nodes,time_seconds,speedup
sequential,1024,1,1,0.097463,1.00
mpi,1024,2,1,0.010974,8.88
mpi,1024,4,1,0.445711,0.22
mpi,1024,8,1,1.372327,0.07
mpi,1024,12,1,1.587164,0.06
mpi,1024,18,2,0.994542,0.10
mpi,1024,24,2,0.676227,0.14
mpi,1024,36,3,0.713306,0.14
mpi,1024,48,4,0.823760,0.12
mpi,1024,72,6,0.698209,0.14
mpi,1024,96,8,0.737005,0.13
mpi,1024,120,10,0.827742,0.12
sequential,2048,1,1,0.195283,1.00
mpi,2048,2,1,0.021877,8.93
mpi,2048,4,1,0.391835,0.50
mpi,2048,8,1,1.353094,0.14
mpi,2048,12,1,1.584511,0.12
mpi,2048,18,2,0.990404,0.20
mpi,2048,24,2,0.672743,0.29
mpi,2048,36,3,0.702954,0.28
mpi,2048,48,4,0.793218,0.25
mpi,2048,72,6,0.711141,0.27
mpi,2048,96,8,0.711877,0.27
mpi,2048,120,10,0.924470,0.21
sequential,4096,1,1,0.394596,1.00
mpi,4096,2,1,0.046628,8.46
mpi,4096,4,1,0.557844,0.71
mpi,4096,8,1,1.333765,0.30
mpi,4096,12,1,1.593222,0.25
mpi,4096,18,2,1.033786,0.38
mpi,4096,24,2,0.704327,0.56
mpi,4096,36,3,0.763164,0.52
mpi,4096,48,4,0.704760,0.56
mpi,4096,72,6,0.848863,0.46
mpi,4096,96,8,0.776141,0.51
mpi,4096,120,10,0.895263,0.44
sequential,8192,1,1,1.001348,1.00
mpi,8192,2,1,0.108989,9.19
mpi,8192,4,1,0.550535,1.82
mpi,8192,8,1,1.500738,0.67
mpi,8192,12,1,1.664646,0.60
mpi,8192,18,2,1.132214,0.88
mpi,8192,24,2,0.702352,1.43
mpi,8192,36,3,0.714390,1.40
mpi,8192,48,4,0.726616,1.38
mpi,8192,72,6,0.706521,1.42
mpi,8192,96,8,0.711560,1.41
mpi,8192,120,10,0.847665,1.18
sequential,16384,1,1,2.437669,1.00
mpi,16384,2,1,0.226409,10.77
mpi,16384,4,1,0.555383,4.39
mpi,16384,8,1,1.480158,1.65
mpi,16384,12,1,1.857009,1.31
mpi,16384,18,2,1.033975,2.36
mpi,16384,24,2,0.751428,3.24
mpi,16384,36,3,0.698161,3.49
mpi,16384,48,4,0.696789,3.50
mpi,16384,72,6,0.742449,3.28
mpi,16384,96,8,0.739861,3.29
mpi,16384,120,10,0.992437,2.46
sequential,32768,1,1,4.785149,1.00
mpi,32768,2,1,0.518069,9.24
mpi,32768,4,1,0.660600,7.24
mpi,32768,8,1,1.599865,2.99
mpi,32768,12,1,1.830175,2.61
mpi,32768,18,2,1.264347,3.78
mpi,32768,24,2,0.744411,6.43
mpi,32768,36,3,0.772306,6.20
mpi,32768,48,4,0.739519,6.47
mpi,32768,72,6,0.862444,5.55
mpi,32768,96,8,0.739725,6.47
mpi,32768,120,10,0.796254,6.01
sequential,65536,1,1,9.806802,1.00
mpi,65536,2,1,1.063812,9.22
mpi,65536,4,1,0.776923,12.62
mpi,65536,8,1,1.742603,5.63
mpi,65536,12,1,1.971656,4.97
mpi,65536,18,2,1.272150,7.71
mpi,65536,24,2,0.849279,11.55
mpi,65536,36,3,0.838647,11.69
mpi,65536,48,4,0.882271,11.12
mpi,65536,72,6,0.735038,13.34
mpi,65536,96,8,0.880961,11.13
mpi,65536,120,10,0.744820,13.17
