type,matrix_size,processes,nodes,time_seconds,speedup
sequential,1024,1,1,0.104656,1.00
mpi,1024,2,1,0.035847,2.92
mpi,1024,4,1,0.020730,5.05
mpi,1024,8,1,0.014245,7.35
mpi,1024,12,1,0.012010,8.71
mpi,1024,18,2,0.061089,1.71
mpi,1024,24,2,0.033732,3.10
mpi,1024,36,3,0.063553,1.65
mpi,1024,48,4,0.083024,1.26
mpi,1024,72,6,0.106661,0.98
mpi,1024,96,8,0.138655,0.75
mpi,1024,120,10,0.130119,0.80
sequential,2048,1,1,0.209459,1.00
mpi,2048,2,1,0.080983,2.59
mpi,2048,4,1,0.043907,4.77
mpi,2048,8,1,0.025424,8.24
mpi,2048,12,1,0.019705,10.63
mpi,2048,18,2,0.028975,7.23
mpi,2048,24,2,0.040881,5.12
mpi,2048,36,3,0.056690,3.69
mpi,2048,48,4,0.067047,3.12
mpi,2048,72,6,0.087503,2.39
mpi,2048,96,8,0.257135,0.81
mpi,2048,120,10,0.132751,1.58
sequential,4096,1,1,0.424182,1.00
mpi,4096,2,1,0.151801,2.79
mpi,4096,4,1,0.082119,5.17
mpi,4096,8,1,0.048408,8.76
mpi,4096,12,1,0.033796,12.55
mpi,4096,18,2,0.043975,9.65
mpi,4096,24,2,0.045571,9.31
mpi,4096,36,3,0.055616,7.63
mpi,4096,48,4,0.060064,7.06
mpi,4096,72,6,0.201900,2.10
mpi,4096,96,8,0.122194,3.47
mpi,4096,120,10,0.121642,3.49
sequential,8192,1,1,1.095867,1.00
mpi,8192,2,1,0.347427,3.15
mpi,8192,4,1,0.158760,6.90
mpi,8192,8,1,0.094923,11.54
mpi,8192,12,1,0.064932,16.88
mpi,8192,18,2,0.060355,18.16
mpi,8192,24,2,0.060274,18.18
mpi,8192,36,3,0.091102,12.03
mpi,8192,48,4,0.069357,15.80
mpi,8192,72,6,0.094118,11.64
mpi,8192,96,8,0.103264,10.61
mpi,8192,120,10,0.120644,9.08
sequential,16384,1,1,2.708608,1.00
mpi,16384,2,1,0.897919,3.02
mpi,16384,4,1,0.378387,7.16
mpi,16384,8,1,0.181949,14.89
mpi,16384,12,1,0.124585,21.74
mpi,16384,18,2,0.103602,26.14
mpi,16384,24,2,0.095142,28.47
mpi,16384,36,3,0.098024,27.63
mpi,16384,48,4,0.089100,30.40
mpi,16384,72,6,0.104022,26.04
mpi,16384,96,8,0.141814,19.10
mpi,16384,120,10,0.209997,12.90
sequential,32768,1,1,5.442553,1.00
mpi,32768,2,1,1.793791,3.03
mpi,32768,4,1,0.946828,5.75
mpi,32768,8,1,0.620789,8.77
mpi,32768,12,1,0.527278,10.32
mpi,32768,18,2,0.200978,27.08
mpi,32768,24,2,0.160504,33.91
mpi,32768,36,3,0.124283,43.79
mpi,32768,48,4,0.120982,44.99
mpi,32768,72,6,0.126600,42.99
mpi,32768,96,8,0.140503,38.74
mpi,32768,120,10,0.141708,38.41
sequential,65536,1,1,10.894178,1.00
mpi,65536,2,1,3.546166,3.07
mpi,65536,4,1,1.866137,5.84
mpi,65536,8,1,1.361942,8.00
mpi,65536,12,1,1.060563,10.27
mpi,65536,18,2,0.791717,13.76
mpi,65536,24,2,0.570181,19.11
mpi,65536,36,3,0.260393,41.84
mpi,65536,48,4,0.203061,53.65
mpi,65536,72,6,0.174110,62.57
mpi,65536,96,8,0.177566,61.35
mpi,65536,120,10,0.187136,58.22

