type,matrix_size,processes,nodes,time_seconds,speedup
sequential,1024,1,1,0.104531,1.00
mpi,1024,2,1,0.045084,2.32
mpi,1024,4,1,0.023863,4.38
mpi,1024,8,1,0.014539,7.19
mpi,1024,12,1,0.011235,9.30
mpi,1024,18,2,0.026105,4.00
mpi,1024,24,2,0.033619,3.11
mpi,1024,36,3,0.054710,1.91
mpi,1024,48,4,0.057817,1.81
mpi,1024,72,6,0.232568,0.45
mpi,1024,96,8,0.121071,0.86
mpi,1024,120,10,0.127179,0.82
sequential,2048,1,1,0.209793,1.00
mpi,2048,2,1,0.077576,2.70
mpi,2048,4,1,0.043215,4.85
mpi,2048,8,1,0.026063,8.05
mpi,2048,12,1,0.019233,10.91
mpi,2048,18,2,0.032498,6.46
mpi,2048,24,2,0.037349,5.62
mpi,2048,36,3,0.076506,2.74
mpi,2048,48,4,0.109112,1.92
mpi,2048,72,6,0.083603,2.51
mpi,2048,96,8,0.115010,1.82
mpi,2048,120,10,0.279707,0.75
sequential,4096,1,1,0.424031,1.00
mpi,4096,2,1,0.149726,2.83
mpi,4096,4,1,0.082897,5.12
mpi,4096,8,1,0.048778,8.69
mpi,4096,12,1,0.034382,12.33
mpi,4096,18,2,0.039454,10.75
mpi,4096,24,2,0.044237,9.59
mpi,4096,36,3,0.057325,7.40
mpi,4096,48,4,0.063135,6.72
mpi,4096,72,6,0.091070,4.66
mpi,4096,96,8,0.121525,3.49
mpi,4096,120,10,0.117153,3.62
sequential,8192,1,1,1.075395,1.00
mpi,8192,2,1,0.326117,3.30
mpi,8192,4,1,0.173610,6.19
mpi,8192,8,1,0.095058,11.31
mpi,8192,12,1,0.065193,16.50
mpi,8192,18,2,0.061977,17.35
mpi,8192,24,2,0.062208,17.29
mpi,8192,36,3,0.071291,15.08
mpi,8192,48,4,0.078789,13.65
mpi,8192,72,6,0.106463,10.10
mpi,8192,96,8,0.104454,10.30
mpi,8192,120,10,0.118770,9.05
sequential,16384,1,1,2.701912,1.00
mpi,16384,2,1,0.887481,3.04
mpi,16384,4,1,0.380441,7.10
mpi,16384,8,1,0.172462,15.67
mpi,16384,12,1,0.282312,9.57
mpi,16384,18,2,0.103036,26.22
mpi,16384,24,2,0.095210,28.38
mpi,16384,36,3,0.105299,25.66
mpi,16384,48,4,0.084884,31.83
mpi,16384,72,6,0.107393,25.16
mpi,16384,96,8,0.126576,21.35
mpi,16384,120,10,0.125302,21.56
sequential,32768,1,1,5.437836,1.00
mpi,32768,2,1,1.784948,3.05
mpi,32768,4,1,0.944856,5.76
mpi,32768,8,1,0.617939,8.80
mpi,32768,12,1,0.545043,9.98
mpi,32768,18,2,0.207396,26.22
mpi,32768,24,2,0.164514,33.05
mpi,32768,36,3,0.271517,20.03
mpi,32768,48,4,0.130548,41.65
mpi,32768,72,6,0.122417,44.42
mpi,32768,96,8,0.127159,42.76
mpi,32768,120,10,0.133066,40.87
sequential,65536,1,1,10.881787,1.00
mpi,65536,2,1,3.550117,3.07
mpi,65536,4,1,1.855601,5.86
mpi,65536,8,1,1.198501,9.08
mpi,65536,12,1,1.058781,10.28
mpi,65536,18,2,0.846958,12.85
mpi,65536,24,2,0.585665,18.58
mpi,65536,36,3,0.256180,42.48
mpi,65536,48,4,0.199734,54.48
mpi,65536,72,6,0.347068,31.35
mpi,65536,96,8,0.174835,62.24
mpi,65536,120,10,0.259094,42.00
sequential,131072,1,1,21.829447,1.00
mpi,131072,2,1,6.994407,3.12
mpi,131072,4,1,3.681436,5.93
mpi,131072,8,1,2.314524,9.43
mpi,131072,12,1,2.064093,10.58
mpi,131072,18,2,1.554849,14.04
mpi,131072,24,2,1.371301,15.92
mpi,131072,36,3,0.827607,26.38
mpi,131072,48,4,0.611630,35.69
mpi,131072,72,6,0.319409,68.34
mpi,131072,96,8,0.246643,88.51
mpi,131072,120,10,0.430973,50.65
