type,matrix_size,processes,nodes,time_seconds,speedup
sequential,1024,1,1,0.096965,1.00
mpi,1024,2,1,0.038695,2.51
mpi,1024,4,1,0.017912,5.41
mpi,1024,8,1,0.011870,8.17
mpi,1024,12,1,0.020148,4.81
mpi,1024,18,2,0.111553,0.87
mpi,1024,24,2,0.033482,2.90
mpi,1024,36,3,0.067315,1.44
mpi,1024,48,4,0.197596,0.49
mpi,1024,72,6,0.094629,1.02
mpi,1024,96,8,0.131035,0.74
mpi,1024,120,10,0.320673,0.30
sequential,2048,1,1,0.194254,1.00
mpi,2048,2,1,0.080039,2.43
mpi,2048,4,1,0.041030,4.73
mpi,2048,8,1,0.022080,8.80
mpi,2048,12,1,0.016394,11.85
mpi,2048,18,2,0.027641,7.03
mpi,2048,24,2,0.044507,4.36
mpi,2048,36,3,0.049099,3.96
mpi,2048,48,4,0.060812,3.19
mpi,2048,72,6,0.092211,2.11
mpi,2048,96,8,0.271223,0.72
mpi,2048,120,10,0.347777,0.56
sequential,4096,1,1,0.388169,1.00
mpi,4096,2,1,0.162619,2.39
mpi,4096,4,1,0.088693,4.38
mpi,4096,8,1,0.042024,9.24
mpi,4096,12,1,0.030657,12.66
mpi,4096,18,2,0.037350,10.39
mpi,4096,24,2,0.043055,9.02
mpi,4096,36,3,0.071844,5.40
mpi,4096,48,4,0.147229,2.64
mpi,4096,72,6,0.091086,4.26
mpi,4096,96,8,0.123298,3.15
mpi,4096,120,10,0.127215,3.05
sequential,8192,1,1,0.981709,1.00
mpi,8192,2,1,0.327646,3.00
mpi,8192,4,1,0.157297,6.24
mpi,8192,8,1,0.084999,11.55
mpi,8192,12,1,0.057650,17.03
mpi,8192,18,2,0.055869,17.57
mpi,8192,24,2,0.056158,17.48
mpi,8192,36,3,0.060032,16.35
mpi,8192,48,4,0.082678,11.87
mpi,8192,72,6,0.092110,10.66
mpi,8192,96,8,0.288959,3.40
mpi,8192,120,10,0.125144,7.84
sequential,16384,1,1,2.423939,1.00
mpi,16384,2,1,0.978268,2.48
mpi,16384,4,1,0.347150,6.98
mpi,16384,8,1,0.180257,13.45
mpi,16384,12,1,0.114740,21.13
mpi,16384,18,2,0.097356,24.90
mpi,16384,24,2,0.080041,30.28
mpi,16384,36,3,0.077867,31.13
mpi,16384,48,4,0.079760,30.39
mpi,16384,72,6,0.094804,25.57
mpi,16384,96,8,0.108239,22.39
mpi,16384,120,10,0.177512,13.66
sequential,32768,1,1,4.854204,1.00
mpi,32768,2,1,1.937539,2.51
mpi,32768,4,1,1.050662,4.62
mpi,32768,8,1,0.701275,6.92
mpi,32768,12,1,0.523921,9.27
mpi,32768,18,2,0.205169,23.66
mpi,32768,24,2,0.229318,21.17
mpi,32768,36,3,0.144455,33.60
mpi,32768,48,4,0.112913,42.99
mpi,32768,72,6,0.131134,37.02
mpi,32768,96,8,0.132906,36.52
mpi,32768,120,10,0.285614,17.00
sequential,65536,1,1,9.731711,1.00
mpi,65536,2,1,3.987630,2.44
mpi,65536,4,1,2.053815,4.74
mpi,65536,8,1,1.244371,7.82
mpi,65536,12,1,1.049171,9.28
mpi,65536,18,2,0.718578,13.54
mpi,65536,24,2,0.565308,17.21
mpi,65536,36,3,0.236232,41.20
mpi,65536,48,4,0.242396,40.15
mpi,65536,72,6,0.306275,31.77
mpi,65536,96,8,0.157844,61.65
mpi,65536,120,10,0.301924,32.23
