type,matrix_size,processes,nodes,time_seconds,speedup
sequential,512,1,1,0.049745,1.00
mpi,512,2,1,0.018662,2.67
mpi,512,4,1,0.011954,4.16
mpi,512,8,1,0.008909,5.58
mpi,512,12,1,0.008188,6.08
mpi,512,18,2,0.022415,2.22
mpi,512,24,2,0.034534,1.44
mpi,512,36,3,0.050549,0.98
mpi,512,48,4,0.060886,0.82
mpi,512,72,6,0.095337,0.52
mpi,512,96,8,0.191311,0.26
mpi,512,120,10,0.135220,0.37
sequential,1024,1,1,0.104941,1.00
mpi,1024,2,1,0.036385,2.88
mpi,1024,4,1,0.021203,4.95
mpi,1024,8,1,0.014288,7.34
mpi,1024,12,1,0.011501,9.12
mpi,1024,18,2,0.024938,4.21
mpi,1024,24,2,0.033168,3.16
mpi,1024,36,3,0.073485,1.43
mpi,1024,48,4,0.073281,1.43
mpi,1024,72,6,0.095137,1.10
mpi,1024,96,8,0.111977,0.94
mpi,1024,120,10,0.139450,0.75
sequential,2048,1,1,0.209862,1.00
mpi,2048,2,1,0.079696,2.63
mpi,2048,4,1,0.042528,4.93
mpi,2048,8,1,0.024839,8.45
mpi,2048,12,1,0.018614,11.27
mpi,2048,18,2,0.058745,3.57
mpi,2048,24,2,0.045755,4.59
mpi,2048,36,3,0.050416,4.16
mpi,2048,48,4,0.060084,3.49
mpi,2048,72,6,0.090051,2.33
mpi,2048,96,8,0.177728,1.18
mpi,2048,120,10,0.120903,1.74
sequential,4096,1,1,0.424195,1.00
mpi,4096,2,1,0.155825,2.72
mpi,4096,4,1,0.087495,4.85
mpi,4096,8,1,0.046154,9.19
mpi,4096,12,1,0.033737,12.57
mpi,4096,18,2,0.039775,10.66
mpi,4096,24,2,0.054573,7.77
mpi,4096,36,3,0.055624,7.63
mpi,4096,48,4,0.095751,4.43
mpi,4096,72,6,0.085772,4.95
mpi,4096,96,8,0.117170,3.62
mpi,4096,120,10,0.118910,3.57
