type,matrix_size,processes,nodes,time_seconds,speedup
sequential,1024,1,1,0.105309,1.00
mpi,1024,2,1,0.012903,8.16
mpi,1024,4,1,0.015971,6.59
mpi,1024,8,1,0.014349,7.34
mpi,1024,12,1,0.029158,3.61
mpi,1024,18,2,0.029976,3.51
mpi,1024,24,2,0.039844,2.64
mpi,1024,36,3,0.057386,1.84
mpi,1024,48,4,0.078545,1.34
mpi,1024,72,6,0.101054,1.04
mpi,1024,96,8,0.073515,1.43
mpi,1024,120,10,0.117933,0.89
sequential,2048,1,1,0.210047,1.00
mpi,2048,2,1,0.022455,9.35
mpi,2048,4,1,0.010925,19.23
mpi,2048,8,1,0.007277,28.86
mpi,2048,12,1,0.004933,42.58
mpi,2048,18,2,0.024742,8.49
mpi,2048,24,2,0.040127,5.23
mpi,2048,36,3,0.065782,3.19
mpi,2048,48,4,0.054242,3.87
mpi,2048,72,6,0.073183,2.87
mpi,2048,96,8,0.072784,2.89
mpi,2048,120,10,0.214895,0.98
sequential,4096,1,1,0.424151,1.00
mpi,4096,2,1,0.048250,8.79
mpi,4096,4,1,0.023260,18.24
mpi,4096,8,1,0.014956,28.36
mpi,4096,12,1,0.009871,42.97
mpi,4096,18,2,0.014001,30.29
mpi,4096,24,2,0.032611,13.01
mpi,4096,36,3,0.068218,6.22
mpi,4096,48,4,0.079898,5.31
mpi,4096,72,6,0.088211,4.81
mpi,4096,96,8,0.088066,4.82
mpi,4096,120,10,0.084667,5.01
sequential,8192,1,1,1.070477,1.00
mpi,8192,2,1,0.123836,8.64
mpi,8192,4,1,0.049115,21.80
mpi,8192,8,1,0.034114,31.38
mpi,8192,12,1,0.023669,45.23
mpi,8192,18,2,0.076574,13.98
mpi,8192,24,2,0.068341,15.66
mpi,8192,36,3,0.081773,13.09
mpi,8192,48,4,0.078054,13.71
mpi,8192,72,6,0.092565,11.56
mpi,8192,96,8,0.085497,12.52
mpi,8192,120,10,0.090895,11.78
sequential,16384,1,1,2.708657,1.00
mpi,16384,2,1,0.283621,9.55
mpi,16384,4,1,0.133844,20.24
mpi,16384,8,1,0.302906,8.94
mpi,16384,12,1,0.052609,51.49
mpi,16384,18,2,0.416373,6.51
mpi,16384,24,2,0.081333,33.30
mpi,16384,36,3,0.216897,12.49
mpi,16384,48,4,0.263216,10.29
mpi,16384,72,6,0.172453,15.71
mpi,16384,96,8,0.172101,15.74
mpi,16384,120,10,0.126120,21.48
sequential,32768,1,1,5.434001,1.00
mpi,32768,2,1,0.594886,9.13
mpi,32768,4,1,0.299453,18.15
mpi,32768,8,1,0.779539,6.97
mpi,32768,12,1,0.314790,17.26
mpi,32768,18,2,0.940568,5.78
mpi,32768,24,2,0.479703,11.33
mpi,32768,36,3,0.394872,13.76
mpi,32768,48,4,0.396871,13.69
mpi,32768,72,6,0.263684,20.61
mpi,32768,96,8,0.151565,35.85
mpi,32768,120,10,0.115502,47.05
sequential,65536,1,1,10.880892,1.00
mpi,65536,2,1,1.179730,9.22
mpi,65536,4,1,0.615129,17.69
mpi,65536,8,1,0.678450,16.04
mpi,65536,12,1,0.636165,17.10
mpi,65536,18,2,2.077155,5.24
mpi,65536,24,2,0.398606,27.30
mpi,65536,36,3,0.342261,31.79
mpi,65536,48,4,0.694221,15.67
mpi,65536,72,6,0.431516,25.22
mpi,65536,96,8,0.329346,33.04
mpi,65536,120,10,0.315526,34.48
