type,matrix_size,processes,nodes,time_seconds,speedup
sequential,512,1,1,0.048985,1.00
mpi,512,2,1,0.021981,2.23
mpi,512,4,1,0.011260,4.35
mpi,512,8,1,0.008148,6.01
mpi,512,12,1,0.007918,6.19
mpi,512,18,2,0.023481,2.09
mpi,512,24,2,0.049758,0.98
mpi,512,36,3,0.067610,0.72
mpi,512,48,4,0.062246,0.79
mpi,512,72,6,0.092894,0.53
mpi,512,96,8,0.106137,0.46
mpi,512,120,10,0.130409,0.38
sequential,1024,1,1,0.104898,1.00
mpi,1024,2,1,0.037133,2.82
mpi,1024,4,1,0.024019,4.37
mpi,1024,8,1,0.015195,6.90
mpi,1024,12,1,0.011970,8.76
mpi,1024,18,2,0.025000,4.20
mpi,1024,24,2,0.046744,2.24
mpi,1024,36,3,0.048139,2.18
mpi,1024,48,4,0.066858,1.57
mpi,1024,72,6,0.088399,1.19
mpi,1024,96,8,0.134904,0.78
mpi,1024,120,10,0.380137,0.28
sequential,2048,1,1,0.210097,1.00
mpi,2048,2,1,0.075516,2.78
mpi,2048,4,1,0.043371,4.84
mpi,2048,8,1,0.024750,8.49
mpi,2048,12,1,0.019476,10.79
mpi,2048,18,2,0.030217,6.95
mpi,2048,24,2,0.037155,5.65
mpi,2048,36,3,0.051504,4.08
mpi,2048,48,4,0.066466,3.16
mpi,2048,72,6,0.095203,2.21
mpi,2048,96,8,0.124264,1.69
mpi,2048,120,10,0.128417,1.64
sequential,4096,1,1,0.424257,1.00
mpi,4096,2,1,0.158048,2.68
mpi,4096,4,1,0.083595,5.08
mpi,4096,8,1,0.048574,8.73
mpi,4096,12,1,0.033057,12.83
mpi,4096,18,2,0.044960,9.44
mpi,4096,24,2,0.045984,9.23
mpi,4096,36,3,0.075481,5.62
mpi,4096,48,4,0.076490,5.55
mpi,4096,72,6,0.092952,4.56
mpi,4096,96,8,0.285399,1.49
mpi,4096,120,10,0.178907,2.37
sequential,8192,1,1,1.103574,1.00
mpi,8192,2,1,0.323815,3.41
mpi,8192,4,1,0.168536,6.55
mpi,8192,8,1,0.095215,11.59
mpi,8192,12,1,0.066829,16.51
mpi,8192,18,2,0.061620,17.91
mpi,8192,24,2,0.062297,17.71
mpi,8192,36,3,0.077683,14.21
mpi,8192,48,4,0.092025,11.99
mpi,8192,72,6,0.088718,12.44
mpi,8192,96,8,0.112609,9.80
mpi,8192,120,10,0.120255,9.18
sequential,16384,1,1,2.705449,1.00
mpi,16384,2,1,0.901380,3.00
mpi,16384,4,1,0.357051,7.58
mpi,16384,8,1,0.189200,14.30
mpi,16384,12,1,0.129829,20.84
mpi,16384,18,2,0.099562,27.17
mpi,16384,24,2,0.105244,25.71
mpi,16384,36,3,0.085367,31.69
mpi,16384,48,4,0.088891,30.44
mpi,16384,72,6,0.109875,24.62
mpi,16384,96,8,0.123881,21.84
mpi,16384,120,10,0.124601,21.71
sequential,32768,1,1,5.427610,1.00
mpi,32768,2,1,1.781071,3.05
mpi,32768,4,1,0.953682,5.69
mpi,32768,8,1,0.618192,8.78
mpi,32768,12,1,0.644433,8.42
mpi,32768,18,2,0.197070,27.54
mpi,32768,24,2,0.158673,34.21
mpi,32768,36,3,0.136891,39.65
mpi,32768,48,4,0.119441,45.44
mpi,32768,72,6,0.124531,43.58
mpi,32768,96,8,0.147434,36.81
mpi,32768,120,10,0.299801,18.10
sequential,65536,1,1,10.889078,1.00
mpi,65536,2,1,3.544116,3.07
mpi,65536,4,1,1.850112,5.89
mpi,65536,8,1,1.201870,9.06
mpi,65536,12,1,1.189268,9.16
mpi,65536,18,2,0.744212,14.63
mpi,65536,24,2,0.568696,19.15
mpi,65536,36,3,0.252028,43.21
mpi,65536,48,4,0.178886,60.87
mpi,65536,72,6,0.173027,62.93
mpi,65536,96,8,0.173265,62.85
mpi,65536,120,10,0.166243,65.50
