type,matrix_size,processes,nodes,time_seconds,speedup
sequential,1024,1,1,0.104552,1.00
mpi,1024,2,1,0.037512,2.79
mpi,1024,4,1,0.022885,4.57
mpi,1024,8,1,0.014694,7.12
mpi,1024,12,1,0.013405,7.80
mpi,1024,18,2,0.058599,1.78
mpi,1024,24,2,0.042905,2.44
mpi,1024,36,3,0.072287,1.45
mpi,1024,48,4,0.078306,1.34
mpi,1024,72,6,0.095877,1.09
mpi,1024,96,8,0.118863,0.88
mpi,1024,120,10,0.125213,0.83
sequential,2048,1,1,0.209997,1.00
mpi,2048,2,1,0.080224,2.62
mpi,2048,4,1,0.040819,5.14
mpi,2048,8,1,0.025828,8.13
mpi,2048,12,1,0.018537,11.33
mpi,2048,18,2,0.031906,6.58
mpi,2048,24,2,0.037612,5.58
mpi,2048,36,3,0.064434,3.26
mpi,2048,48,4,0.062631,3.35
mpi,2048,72,6,0.112934,1.86
mpi,2048,96,8,0.107469,1.95
mpi,2048,120,10,0.119709,1.75
sequential,4096,1,1,0.424439,1.00
mpi,4096,2,1,0.149854,2.83
mpi,4096,4,1,0.089555,4.74
mpi,4096,8,1,0.048926,8.68
mpi,4096,12,1,0.033919,12.51
mpi,4096,18,2,0.039667,10.70
mpi,4096,24,2,0.046543,9.12
mpi,4096,36,3,0.061823,6.87
mpi,4096,48,4,0.070265,6.04
mpi,4096,72,6,0.091018,4.66
mpi,4096,96,8,0.104339,4.07
mpi,4096,120,10,0.123558,3.44
sequential,8192,1,1,1.079662,1.00
mpi,8192,2,1,0.328387,3.29
mpi,8192,4,1,0.166315,6.49
mpi,8192,8,1,0.098765,10.93
mpi,8192,12,1,0.064949,16.62
mpi,8192,18,2,0.061771,17.48
mpi,8192,24,2,0.072178,14.96
mpi,8192,36,3,0.070586,15.30
mpi,8192,48,4,0.068728,15.71
mpi,8192,72,6,0.094501,11.42
mpi,8192,96,8,0.164251,6.57
mpi,8192,120,10,0.119021,9.07
sequential,16384,1,1,2.705351,1.00
mpi,16384,2,1,0.896703,3.02
mpi,16384,4,1,0.366130,7.39
mpi,16384,8,1,0.176427,15.33
mpi,16384,12,1,0.115170,23.49
mpi,16384,18,2,0.102702,26.34
mpi,16384,24,2,0.096915,27.91
mpi,16384,36,3,0.085974,31.47
mpi,16384,48,4,0.085237,31.74
mpi,16384,72,6,0.107141,25.25
mpi,16384,96,8,0.132822,20.37
mpi,16384,120,10,0.132563,20.41
sequential,32768,1,1,5.440208,1.00
mpi,32768,2,1,1.771494,3.07
mpi,32768,4,1,0.952508,5.71
mpi,32768,8,1,0.616915,8.82
mpi,32768,12,1,0.664961,8.18
mpi,32768,18,2,0.206681,26.32
mpi,32768,24,2,0.155751,34.93
mpi,32768,36,3,0.131998,41.21
mpi,32768,48,4,0.132555,41.04
mpi,32768,72,6,0.132850,40.95
mpi,32768,96,8,0.129353,42.06
mpi,32768,120,10,0.152609,35.65
sequential,65536,1,1,10.837919,1.00
mpi,65536,2,1,3.552071,3.05
mpi,65536,4,1,2.242095,4.83
mpi,65536,8,1,1.205003,8.99
mpi,65536,12,1,1.061764,10.21
mpi,65536,18,2,0.722741,15.00
mpi,65536,24,2,0.573701,18.89
mpi,65536,36,3,0.252377,42.94
mpi,65536,48,4,0.188027,57.64
mpi,65536,72,6,0.169137,64.08
mpi,65536,96,8,0.180617,60.00
mpi,65536,120,10,0.171730,63.11
sequential,131072,1,1,21.813909,1.00
mpi,131072,2,1,7.033491,3.10
mpi,131072,4,1,3.669914,5.94
mpi,131072,8,1,2.345257,9.30
mpi,131072,12,1,2.053094,10.62
mpi,131072,18,2,1.538456,14.18
mpi,131072,24,2,1.222590,17.84
mpi,131072,36,3,0.869745,25.08
mpi,131072,48,4,0.603304,36.16
mpi,131072,72,6,0.306975,71.06
mpi,131072,96,8,0.386952,56.37
mpi,131072,120,10,0.230478,94.65
