type,test_case,processes,nodes,time_seconds,speedup
sequential,test1,1,1,0.002566,1.00
mpi,test1,2,1,0.003090,0.83
mpi,test1,6,1,0.003067,0.84
mpi,test1,10,1,0.002872,0.89
mpi,test1,30,3,0.224103,0.01
sequential,test2,1,1,212.183377,1.00
mpi,test2,2,1,126.909022,1.67
mpi,test2,4,1,64.438035,3.29
mpi,test2,8,1,35.072913,6.05
mpi,test2,16,2,20.054120,10.58
mpi,test2,20,2,19.871846,10.68
mpi,test2,32,3,12.873905,16.48
mpi,test2,40,4,13.096378,16.20
mpi,test2,50,5,9.913137,21.40
mpi,test2,64,6,8.232838,25.77
mpi,test2,80,7,7.552868,28.09
mpi,test2,100,9,7.768088,27.31
sequential,test3,1,1,69.974999,1.00
mpi,test3,2,1,52.290080,1.34
mpi,test3,4,1,27.732697,2.52
mpi,test3,8,1,16.970758,4.12
mpi,test3,16,2,10.102900,6.93
mpi,test3,32,3,7.678020,9.11
mpi,test3,64,6,7.705485,9.08
sequential,test4,1,1,85.225691,1.00
mpi,test4,2,1,57.954419,1.47
mpi,test4,4,1,37.692109,2.26
mpi,test4,10,1,26.035258,3.27
mpi,test4,20,2,22.949047,3.71
mpi,test4,50,5,22.228854,3.83
mpi,test4,100,9,22.965029,3.71
